playlist_id,playlist_name,total_tracks,avg_track_popularity
2CW80PEjtp3m8lCSuxJXON,"Classic 50s, 60s, 70s, Rock N Roll",55,83.0
19PgP2QSGPcm6Ve8VhbtpG,80s HITS | TOP 100 SONGS ,143,82.8888888888889
1jycIoHPDqXBDOsndc4MW0,Jaz’s playlist,359,82.875
3zossEoJ133BeXJ5kv21dU,B E S T,1197,82.8333333333333
0BuJ8ryPyMdXnQEp8shVAu,Gold 90.5,323,82.8
76rdRnqObDDND57p9Vfopu,>:(,857,82.5714285714286
0vYHovBPL2KxtcHlNVgngz,sound,285,82.2222222222222
2ouv658vjoW6THXwCb3kc6,sound,1836,82.0769230769231
18vUeZ9BdtMRNV6gI8RnR6,Techno Music 2025 💊,150,82.0
4h9dvquufDVDyGuYRHeu73,2000 R&B Hits - Top R&B 2000s Songs (R&B 00s Popular Songs),150,82.0
4lRQ0QeE8TlEEB272EPh3X,"TECHNO MIX 2025 🧪 Rave Techno Remixes for Party, Gym, and Car Music",223,82.0
7J0ssQcMWpjaR5R59eESWP,EDM Remixes of Popular Songs,73,82.0
0ZeiiX7bwPjcsUAYgKRw6q,↯♬*🎹jazz✬🎐๑,575,81.8888888888889
6iD4umTCuMnYfYg6mGbdVv,best of the best 🚫❌💯😹👏⁉️❗️✅✅,643,81.7777777777778
4tvPK4nTexfjjS8YmMmWcJ,Best of the Best,1583,81.75
50CGcs5aSdTy3KprfOlWLM,DJ MASHUPS & REMIXES 🎧 DJ MUSIC 2025 🎧 DJ PARTY REMIX 2025 🎧 DJ MIX 2025 🎧 DJ REMIX 🎧 BEST REMIXES ,130,81.6666666666667
6Jhe34Z0vZTRrtIy27UipT,Best of the best😶‍🌫️,1614,81.6111111111111
6e59gClGRNkc1YPfP09B0g,❤️Asia❤️(Mostly Kpop),2802,81.4444444444444
0jw9FCE6uMm6cY5yolsd6t,sound,469,81.2857142857143
70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,81.1666666666667
7wxEollKvGa0eYWhYNkiZ9,they,1327,81.1666666666667
3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,145,81.0
49RoQF55lyRSgSZwRAHh5K,50 Cent Best Of,35,81.0
6Evb2FvsvxncumgZ9EABQT,"Rap 2025 🔥 New Rap & Trap Hits, Best Hip-Hop Music, Rap Hype Playlist, Aux Bangers,   ",206,80.625
4dIToaJTM7rzVH7kstex1Y,BABY BOI - Album,227,79.5714285714286
6rYOd84VI5TFDgKBGMcdf4,They them energy playlist 🔥🤙,893,79.5714285714286
4ZB8LNvjTqxyUZPzHyYYJq,Remixes 2025 🔥 Best Popular Songs Remixed 🔥 Best Remixes & EDM Hits 2024 & 2025,232,79.3333333333333
36LTGEppXAZNaQ9QMKDm3l,Country Remixes 🤠 Party Songs 2025,164,79.0
5N7ynDD4Kb5gzb2Sb6ZOId,/&/&:8@:;&9☆✪✯,50,79.0
5vRTUdBHXlnHPDfcRW8hDi,Bass Boosted 2025 (Top 100) 🔥🔊,159,79.0
6eyjeIOgYy1qSntt3mTJJf,They Hate Us,99,79.0
2daSvfEmKVRcXMMuf5lAhx,Tik Tok Remixes 2024 ⚡Best TikTok Remix 2025,295,78.875
2n8POxkiNjLibFSTwe4u7p,Naija (Afrobeats/African) Mix 2025,87,78.0
01MRi9jFGeSEEttKOk7VgR,All Time Rap Bangers 2010-2025,237,77.8
5TDBDjx0q7PCshmhpDivZ8,Best of 60s and 70s Classics,211,77.8
7EnIitpBIDp8hbqoaOWfQO,RAP MUSIC 2025 🐐 Best Rap Songs / New Hip Hop & Trap / Top Hits,119,77.5
2oKgQmWLlAgCqw0YD8SvEg,Michael Jackson: Greatest Hits,44,77.0
4FHRFbpiSTV6ZNisvL8YhY,sound ,251,77.0
7elMmOO3kljdQsQWZ6zDKZ,Mix - Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),21,77.0
1dgvF1H3UpEPqoFpye1G1d,NEW PUNJABI SONGS 2025,274,74.5
5kaF0nY1hSkUvKobBPHfZ1,Asianavenue/Asiantown,538,74.0
5lDHB8r2Yjp4eJBpkDIo90,MOWTOWN GOLD📀,100,74.0
62wW67yRcDrZunRQlgzsqU,Vietnam War Music,299,73.5
3T0hM0NdGCI5Vj35P4IKdX,This,1231,73.0909090909091
6KMxAb5UmBe6cWZliQ7X30,<>~ <>,359,72.0
5vGMsjreMahQxS4tk6wLi6,TOP 50 PUNJABI SONGS 2025,350,71.25
1J2BurQbO9hd1H2sbO8AXv,Asia - Greatest Hits,28,61.0
0JUvjIUw7xzAFI3xZIz7em,INSTRUMENTAL COVERS 2025 ✨ popular songs,657,44.5
3Oja01PzOV8BNv13issMm3,!?&/“.,239,38.0
3ePWF5TuoWsVFKweKZjt8V,70s Disco Hits: Best 70's Disco Music ,53,36.0
01RMcv87lqJE9JGJWW6Fgz,asia ✩°｡⋆⸜ 🎧✮,210,NULL
07eP9XGdyfir7QfAUzlU9M,sound ,708,NULL
09VnEP3XvSbb8gYCgNwXNL,BEst songs,34,NULL
0I3aEQyxrT9CJZStbEQ9fE,Berceuses pour endormir bébé,213,NULL
0QlR1q5w8CRtklntr6D0oO,Jazzy,419,NULL
0XvBIoFUDrKfoPmnhz1fS4,"Japanese Zen Garden 日本庭園 - Peaceful Instrumental Asian Music for Rest, Relaxation, Meditation & Spa",124,NULL
0Y1JzZVhZh17uSFFxnqOvl,90s Dance Hits (Top 100),102,NULL
0Y44bc2Fd2IfbhqSPnNlTC,Taylor Swift: Hits and Best of,51,NULL
0ZcdhVTeR3X95ExYBODghl,60s & 70s Folk Favorites,128,NULL
